Program,FC,count
B.A Economics,CO,11
B.A Economics,ST,11
B.A Economics,SO,10
B.A English,PE,12
B.A English,SO,8
B.A English,HI,6
B.A Hindi,HI,8
B.A Hindi,SO,8
B.A Hindi,EC,4
B.A History,SO,17
B.A History,PE,15
B.A History,EC,4
B.A Sociology,HI,13
B.A Sociology,PE,12
B.A Sociology,EC,9
B.Com Model I,ST,27
B.Com Model I,EC,9
B.Com Model I,SO,6
B.Sc Botany,ZO,8
B.Sc Botany,HI,5
B.Sc Botany,MA,4
B.Sc Chemistry,MA,14
B.Sc Chemistry,EN,3
B.Sc Chemistry,ZO,3
B.Sc Mathematics,CO,14
B.Sc Mathematics,ST,7
B.Sc Mathematics,SO,2
B.Sc Physics,MA,9
B.Sc Physics,SO,8
B.Sc Physics,ST,4
B.Sc Statistics,CO,9
B.Sc Statistics,MA,9
B.Sc Statistics,EC,4
B.Sc Zoology,CH,11
B.Sc Zoology,HI,7
B.Sc Zoology,PH,5
